"Benzene, 1-chloro-4-nitro-",C6H4ClNO2,100-00-5
"2,5,8,11-Tetraoxadodecane",C8H18O4,112-49-2
"Ethanol, 2-[2-(2-ethoxyethoxy)ethoxy]-",C8H18O4,112-50-5
Ta3O radical,OTa3,112510-43-7
"1,3-Cyclohexanedione, 2,5,5-trimethyl-",C9H14O2,1125-11-7
Thujone,C10H16O,1125-12-8
"Disulfide, dipentyl",C10H22S2,112-51-6
"2,6,6-Trimethyl-2-cyclohexene-1,4-dione",C9H12O2,1125-21-9
"2-cyclopentyl-2-methyl-1,3-propanediol",C9H18O2,1125-23-1
Vinyldimethylphenylsilane,C10H14Si,1125-26-4
"Dodecane, 1-chloro-",C12H25Cl,112-52-7
"Ketone, methyl 1,3,5-trimethyl-pyrazol-4-yl,",C8H12N2O,1125-28-6
"Pyrazole, 4-nitro-1,3,5-trimethyl-",C6H9N3O2,1125-30-0
"4,1,3-Ethanediylidenecyclopenta[cd,gh]pentalene-6,7(1H)-dione, decahydro-",C14H14O2,112533-27-4
1-Dodecanol,C12H26O,112-53-8
GeCl4+,Cl4Ge+,112548-41-1
GeF4+,F4Ge+,112548-66-0
Dodecanal,C12H24O,112-54-9
1-Dodecanethiol,C12H26S,112-55-0
"1-Bromo-2,3,4,5-tetrachloro benzene",C6HBrCl4,1125-52-6
5-Isoquinolinamine,C9H8N2,1125-60-6
Tetraethylenepentamine,C8H23N5,112-57-2
"2-Naphthalenol, 5,6,7,8-tetrahydro-",C10H12O,1125-78-6
"Isoquinoline, 3-methyl-",C10H9N,1125-80-0
"Hexane, 1,1'-oxybis-",C12H26O,112-58-3
Benzaldehyde dimethyl acetal,C9H12O2,1125-88-8
"Methanamine, N-[(2-methoxyphenyl)methylene]-",C9H11NO,1125-90-2
2-(2-Hexyloxyethoxy)ethanol,C10H22O3,112-59-4
"Pyrrolidine, 1-(1-cyclohexen-1-yl)-",C10H17N,1125-99-1
"1H-Pyrazole, 1-phenyl-",C9H8N2,1126-00-7
"Ethanol, 2,2'-[oxybis(2,1-ethanediyloxy)]bis-",C8H18O5,112-60-7
Ethyl piperidine-4-carboxylate,C8H15NO2,1126-09-6
"Octadecanoic acid, methyl ester",C19H38O2,112-61-8
"Cyclohexanone, 2-butyl-",C10H18O,1126-18-7
"9H-purine-6-thiol, 8-methyl-",C6H6N4S,1126-23-4
"9-Octadecenoic acid (Z)-, methyl ester",C19H36O2,112-62-9
"9,12-Octadecadienoic acid (Z,Z)-, methyl ester",C19H34O2,112-63-0
Neocarvomenthol,C10H20O,1126-40-5
Myristoyl chloride,C14H27ClO,112-64-1
2-Fluoro-3-(trifluoromethyl)benzaldehyde,C8H4F4O,112641-20-0
4-Chlorobenzoic acid methyl ester,C8H7ClO2,1126-46-1
"Hexane, 3,4-diethyl-2,2,5,5-tetramethyl-, (R*,R*)-(+/-)-",C14H30,112655-34-2
"Propanamide, N-cyclohexyl-",C9H17NO,1126-56-3
"Acetic acid, dodecyl ester",C14H28O2,112-66-3
"Benzeneethanamine, N,N-dimethyl-",C10H15N,1126-71-2
Palmitoyl chloride,C16H31ClO,112-67-4
"Benzene, (2-methylpropoxy)-",C10H14O,1126-75-6
N-Butylaniline,C10H15N,1126-78-9
Butoxybenzene,C10H14O,1126-79-0
Butylthiobenzene,C10H14S,1126-80-3
"Acetanilide, 4-mercapto-",C8H9NOS,1126-81-4
"1-Hexadecanamine, N,N-dimethyl-",C18H39N,112-69-6
"Cyclohexane-1,1-dicarboxylic acid",C8H12O4,1127-08-8
1-Tridecanol,C13H28O,112-70-9
"Tetradecane, 1-bromo-",C14H29Br,112-71-0
1-Tetradecanol,C14H30O,112-72-1
"Butane, 1,1'-[oxybis(2,1-ethanediyloxy)]bis-",C12H26O3,112-73-2
C4H7NO3S,C4H7NO3S,112740-56-4
C4H7NO4S,C4H7NO4S,112740-58-6
C4H7NO2S,C4H7NO2S,112740-61-1
(CH3)2N-C(C2H5)=N(i-C3H7),C8H18N2,112752-57-5
"1-Tetradecanamine, N,N-dimethyl-",C16H35N,112-75-4
Stearic acid chloride,C18H35ClO,112-76-5
"Naphthalene, 1-ethyl-",C12H12,1127-76-0
"9-Octadecenoic acid, (E)-",C18H34O2,112-79-8
9-Octadecenoic acid (Z)-,C18H34O2,112-80-1
Dihydrojasmone,C11H18O,1128-08-1
"3,5-Dichloro-2-trichloromethyl pyridine'",C6H2Cl5N,1128-16-1
"Hexadecane, 1-bromo-",C16H33Br,112-82-3
"13-Docosenamide, (Z)-",C22H43NO,112-84-5
Docosanoic acid,C22H44O2,112-85-6
Erucic acid,C22H42O2,112-86-7
"2(3H)-Benzothiazolone, 3-methyl-, hydrazone",C8H9N3S,1128-67-2
"Benzoic acid, 3-chloro-, ethyl ester",C9H9ClO2,1128-76-3
"Carbamic acid, N-methyl, 2-methylphenyl ester",C9H11NO2,1128-78-5
1-Octadecene,C18H36,112-88-9
"Octadecane, 1-bromo-",C18H37Br,112-89-0
"3,4-Difluorocinnamic acid",C9H6F2O2,112897-97-9
"2,5-Difluorocinnamic acid",C9H6F2O2,112898-33-6
"trans-1-(1,1-dimethylethyl)-4-ethylcyclohexane",C12H24,1129-23-3
"cis-1-(1,1-dimethylethyl)-4-ethylcyclohexane",C12H24,1129-24-4
1-Octadecanol,C18H38O,112-92-5
Methyl 3-bromomethylbenzoate,C9H9BrO2,1129-28-8
"Benzene, 1-(1-methylethenyl)-3-(1-methylethyl)-",C12H16,1129-29-9
4-Cyanobenzoic acid methyl ester,C9H7NO2,1129-35-7
Metolcarb,C9H11NO2,1129-41-5
"Butanamide, N-phenyl-",C10H13NO,1129-50-6
Eicosane,C20H42,112-95-8
"Ether, isopentyl phenyl",C11H16O,1129-64-2
"Benzene, 1-hexynyl-",C12H14,1129-65-3
"Octadecane, 1-isocyanato-",C19H37NO,112-96-9
2-C6H13(c-C5H4N),C11H17N,1129-69-7
"Cyclododecene, (Z)-",C12H22,1129-89-1
Cyclododecyne,C12H20,1129-90-4
"1-octadecanamine, N-octadecyl-",C36H75N,112-99-2
Guanidine,CH5N3,113-00-8
"Disilane,pentamethylphenyl-",C11H20Si2,1130-17-2
"2-Azapentalene, 1,3-bis(dimethylamino)-5-methyl-",C12H17N3,113035-24-8
"2-Azapentalene, 1,3-bis(dimethylamino)-5-carboxaldehyde-",C12H15N3O,113035-25-9
"2-Azapentalene, 1,3-bis(dimethylamino)-4,6-di-tert-butyl-",C19H31N3,113035-26-0
"2-Azapentalene, 1,3-bis(dimethylamino)-4,6-bis(trimethylsilyl)-",C17H31N3Si2,113035-27-1
"2-Azapentalene, 1,5-di(tert-butyl)-3-piperidinyl)-",C20H30N2,113035-28-2
"cis-1-ethyl-4-(1,1-dimethylpropyl)cyclohexane",C13H26,1130-56-9
"trans-1-ethyl-4-(1,1-dimethylpropyl)cyclohexane",C13H26,1130-57-0
"2-Chloro-2',6'-acetoxylidide",C10H12ClNO,1131-01-7
Thianaphthene-3-acetic acid,C10H8O2S,1131-09-5
PNO,NOP,113110-84-2
Monophenyl succinic anhydride,C10H8O3,1131-15-3
"1H-Pyrazole, 3,5-dimethyl-1-phenyl-",C11H12N2,1131-16-4
"1H-Pyrazol-5-amine, 3-methyl-1-phenyl-",C10H11N3,1131-18-6
"Imidazole, 5(4)-(methylthio)-4(5)-nitro-",C4H5N3O2S,113121-55-4
"Ergotaman-3',6',18-trione, 12'-hydroxy-2'-methyl-5'-(phenylmethyl)-, (5'.alpha.)-",C33H35N5O5,113-15-5
"Phenol, 4-cyclohexyl-",C12H16O,1131-60-8
"Ethanone, 1-(3,4-dimethoxyphenyl)-",C10H12O3,1131-62-0
4-Amino-3-bromo-5-nitrobenzotrifluoride,C7H4BrF3N2O2,113170-71-1
Ethchlorvynol,C7H9ClO,113-18-8
"Acetophenone, 3'-allyl-4'-hydroxy-",C11H12O2,1132-05-4
"2,3-Difluorobenzyl bromide",C7H5BrF2,113211-94-2
MeCH(OH)CO2 anion,C3H5O3-,113-21-3
"3,5-di-t-butylpyrazole",C11H20N2,1132-14-5
"3,5-Dimethoxybenzoic acid",C9H10O4,1132-21-4
"1,2,3,4-Tetrahydro-1-(3'-hydroxy-4'-methoxybenzyl)-9-pyrid[3,4,b]indole hydrochloride",C19H21ClN2O2,113222-74-5
"Benzene, 1,1'-selenobis-",C12H10Se,1132-39-4
Hexylphenyl ether,C12H18O,1132-66-7
"Cyclobutane,1,1,2,2-tetramethyl-3,4-bis(1-methylethylidene)-",C14H24,1133-23-9
"o-Nitrobenzylidene-2,5-dimethylphenylacetonitrile",C17H14N2O2,113366-20-4
"9H-Fluorene, 2-bromo-",C13H9Br,1133-80-8
"Estradiol, dipropionate",C24H32O4,113-38-2
Cycloate,C11H21NOS,1134-23-2
"2,2'-Bipyridine, 4,4'-dimethyl-",C12H12N2,1134-35-6
"Naphthalene, 2,3,6,7-tetramethyl-",C14H16,1134-40-3
SiS,SSi,113443-18-8
Methylphenidate,C14H19NO2,113-45-1
"Naphthalene, 2-butyl-",C14H16,1134-62-9
"N-(2-Ethylhexyl)-5-norbornene-2,3-dicarboximide",C17H25NO2,113-48-4
"2,4-Pentanedione, 3-benzyl-",C12H14O2,1134-87-8
trans-Carveyl acetate,C12H18O2,1134-95-8
"3,4-Methylenedioxyphenyl isothiocyanate",C8H5NO2S,113504-93-1
"Benzenamine, 4-(phenylmethyl)-",C13H13N,1135-12-2
"Benzenamine, 4-(phenylthio)-",C12H11NS,1135-14-4
"Arachidonic acid, TMS",C23H40O2Si,113516-18-0
"5-(3-Dimethylaminopropyl)-10,11-dihydro-5h-dibenz-[b,f]-azepine, hydrochloride",C19H25ClN2,113-52-0
.beta.-(4-Hydroxy-3-methoxyphenyl)propionic acid,C10H12O4,1135-23-5
"Cinnamic acid, 4-hydroxy-3-methoxy-",C10H10O4,1135-24-6
"Osmium, bis(&#951;<sup>5</sup>-2,4-dimethylpenta-2,4-dien-1-yl)-",C14H22Os,113530-61-3
Dosulepin,C19H21NS,113-53-1
Hexyl methylphosphonofluoridate,C7H16FO2P,113548-89-3
"2H-2,4a-Methanonaphthalene, 1,3,4,5,6,7-hexahydro-1,1,5,5-tetramethyl-, (2S)-",C15H24,1135-66-6
"Ruthenium, bis(&#951;<sup>5</sup>-1,2,3,4,5,6-hexamethylcyclohexa-2,4-dien-1-yl)-",C24H38Ru,113566-60-2
,,113571-15-6
Chlorprothixene,C18H18ClS,113-59-7
"Tin, dichlorodiphenyl-,",C12H10Cl2Sn,1135-99-5
"2-Butanone, 3-iodo-3-methyl-",C5H9IO,113613-35-7
Samarium isothiocyanate hexahydrate,C3N3S3Sm.H12O6,113614-84-9
Neodymium isothiocyanate heptahydrate,C3N3NdS3.H14O7,113614-85-0
Praseodymium isothiocyanate heptahydrate,C3N3PrS3.H14O7,113614-86-1
Lanthanum isothiocyanate heptahydrate,C3LaN3S3.H14O7,113614-87-2
H2SiOH,H3OSi,113648-09-2
"Diruthenium tetrakis(trifluoroacetate), dinitrosyl-",C8F12N2O10Ru2,113662-26-3
trans-1-(Ethylthio)-2-butene,C6H12S,113664-29-2
"Ethanone, 1-(3,4,5-trimethoxyphenyl)-",C11H14O4,1136-86-3
CaCH3,CH3Ca,113688-77-0
SrCH3,CH3Sr,113688-78-1
Longicyclene,C15H24,1137-12-8
"Methanone, (4-aminophenyl)phenyl-",C13H11NO,1137-41-3
"Methanone, (4-hydroxyphenyl)phenyl-",C13H10O2,1137-42-4
N-Phenyliminodiacetic acid,C10H11NO4,1137-73-1
"(1,1'-Biphenyl)-4-amine, N,N-dimethyl-",C14H15N,1137-79-7
"Benzenamine, N-(phenylmethylene)-, N-oxide",C13H11NO,1137-96-8
"2,3,6-Trifluorophenol",C6H3F3O,113798-74-6
N-Acetylvaline-N'-methylamide(DL),C8H16N2O2,113830-74-3
"trans-1,2-Diphenylcyclopropane",C15H14,1138-47-2
"cis-1,2-Diphenylcyclopropane",C15H14,1138-48-3
"Cyclohexanone, 3,5-di-tert-butyl-, cis",C14H26O,1138-51-8
"Phenol, 3,5-bis(1,1-dimethylethyl)-",C14H22O,1138-52-9
4-(n-Butoxy)benzenesulfonyl chloride,C10H13ClO3S,1138-56-3
HCCCCl,C3HCl,113917-30-9
(E) 2-[[(Methoxycarbonyl)(4-methoxyphenyl)amino]methylene]-1-methyl-3(2H)-indolone,C19H18N2O4,113917-64-9
"Carbonic acid, 2-[[(4-methoxyphenyl)imino]methyl]-1-methyl-1H-indol-3-yl methyl ester",C19H18N2O4,113917-65-0
&#946;-Caryophyllene epoxide,C15H24O,1139-30-6
"6H-Dibenzo(a,c)cyclohepten-6-one, 5,7-dihydro-",C15H12O,1139-82-8
LiC6H6,C6H6Li,113997-34-5
"2,4-Dimethylbenzophenone",C15H14O,1140-14-3
"Phthalocyaninatogermanium, bis(tert-butyldimethylsiloxy)-",C44H46GeN8O2Si2,114025-12-6
HN3O4,HN3O4,114045-20-4
Bis[(tert-butyldimethylsiloxy)phthalocyaninatogermyl] ether,C76H62Ge2N16O3Si2,114055-40-2
"10-Methylpentacyclo[6.3.1.1<sup>3,6</sup>.0<sup>2,7</sup>.0<sup>9,11</sup>]tridecane",C14H20,114056-46-1
"Ketone, hydroxy-2-pyridylmethyl 2-pyridyl-",C12H10N2O2,1141-06-6
"3-Buten-2-one, 4-hydroxy-4-(phenylamino)-",C10H11NO2,114113-11-0
"3-Buten-2-one, 4-[(4-chlorophenyl)amino]-4-hydroxy-",C10H10ClNO2,114113-14-3
NNS+,N2S+,114130-09-5
"O-(2,4,6-trichlorophenyl)-n-methylamido-n-ethylamidothiophosphate",C9H12Cl3N2OPS,114133-84-5
"p-N,N-Bis(2-chloroethyl)aminobenzoic acid",C11H13Cl2NO2,1141-37-3
"2,6-Naphthalenedicarboxylic acid",C12H8O4,1141-38-4
3-(2-Naphthylthio)propionic acid,C13H12O2S,1141-45-3
"Coumarin, 7-(diethylamino)-4-morpholino-",C17H22N2O2,114145-42-5
"2,3,6-Trifluorobenzyl alcohol",C7H5F3O,114152-19-1
N-(2-cyanoethyl)-4-nitrobenzamide,C10H9N3O3,1141-61-3
"Diethylene glycol bis(2,2,3-trichloropropionate)",C10H12Cl6O5,114165-21-8
"Coumarin, 3-thiocyano-4-methyl-7-(N,N-diethylamino)-",C15H16N2O2S,114171-77-6
"Octamethyltetrasila[2.2](2,5)thiophenophane",C16H28S2Si4,114184-41-7
"Octamethyltetrasila[2.2](2,5)furanophane",C16H28O2Si4,114184-42-8
"Benzenamine, 2,2'-dithiobis-",C12H12N2S2,1141-88-4
"5-Benzylmercapto-1,3,4-thiadiazolidone-2-azine",C18H16N6S4,114205-74-2
"Benzene, 1-methoxy-4-(2-phenylethenyl)-",C15H14O,1142-15-0
"Disulfide, bis(4-chlorophenyl)",C12H8Cl2S2,1142-19-4
"1,1-Bis(ethylsulfonyl) ethylene",C6H12O4S2,114223-30-2
2-(Ethylthio)-3-methyl-1-butene,C7H14S,114232-59-6
2-(Ethylthio)-1-butene,C6H12S,114232-60-9
4-(Hexyloxy)benzoic acid,C13H18O3,1142-39-8
2-Isopropoxyphenyl N-methylcarbamate,C11H19NO3,114-26-1
"2,4,6(1H,3H,5H)-Pyrimidinetrione, 5-(2-bromo-2-propenyl)-5-(1-methylpropyl)-",C11H15BrN2O3,1142-70-7
&#945;-Terpenyl isovalerate,C15H26O2,1142-85-4
"P-chlorothiolbenzenesulfonic acid, phenyl ester",C12H9ClO2S2,1142-97-8
"N,n-dimethyl-p-methyl phosphonamidic acid, n-pentyl ester",C8H20NO2P,114328-80-2
"9(10H)-Anthracenone, 1,8-dihydroxy-",C14H10O3,1143-38-0
"Ibuprofen, methyl deriv.",C13H20O2,114376-60-2
"3-Acetyl-5-benzylmercapto-1,3,4-thiadiazolidone-2-azine",C22H20N6O2S4,114383-24-3
(o-Chlorophenyl)urea,C7H7ClN2O,114-38-5
Cu14,Cu14,114470-05-2
"Methanone, (4-nitrophenyl)phenyl-",C13H9NO3,1144-74-7
Bis(methylammonium-d6) hexachlorostannate (IV),C2Cl6D12N2Sn,114481-22-0
Scopolamine hydrobromide,C17H21NO4.BrH,114-49-8
"3,5-diphenylpyrazole",C15H12N2,1145-01-3
"Benzoic acid, 3-chloro, trimethylsilyl ester",C10H13ClO2Si,114521-53-8
Benzoylglycylglycine,C11H12N2O4,1145-32-0
"1,4-Dicyclopropylbuta-1,3-diyne",C10H10,114546-62-2
N-chloroacetyl-l-tyrosine,C11H12ClNO4,1145-56-8
Benzyl 4-nitrophenyl ether,C13H11NO3,1145-76-2
P4O,OP4,114584-25-7
P2O,OP2,114584-26-8
br-P4O,OP4,114584-27-9
Diethyl-4-methoxybenzylphosphonate,C12H19O4P,1145-93-3
"1,2-Diphenyltetramethyldisilane",C16H22Si2,1145-98-8
"Diazenyl, (4-bromophenyl)-",C6H4BrN2,114606-24-5
4-Nitrodiphenylsulfone,C12H9NO4S,1146-39-0
CH2=C(CH3)-SeCH3,C4H8Se,114659-08-4
Naphthalene-d8,C10D8,1146-65-2
"Thiirane, 2,3-di(trimethylsilyl)-",C8H20SSi2,114693-66-2
"Thiirane, 2-(trimethylsilyl)-",C5H12SSi,114693-68-4
"Oxirane, 2-(1,1-dimethylethyl)-2-trimethylsilyl-",C9H20OSi,114693-78-6
"Oxirane, 2,3-di(trimethylsilyl)-",C8H20OSi2,114693-79-7
,,114715-38-7
,,114715-39-8
CF2=CFCl+,C2ClF3+,114718-67-1
"Bicyclo[2.2.2]oct-5-ene-2-carbonitrile, 3-methyl-, (1&#945;,2&#946;,3&#945;,4&#945;)- (exo,endo)",C10H13N,114718-69-3
"Bicyclo[2.2.2]oct-5-ene-2-carbonitrile, 3-methyl-, (1&#945;,2&#945;,3&#946;,4&#945;)- (endo,exo)",C10H13N,114718-70-6
"Bicyclo[2.2.2]oct-5-ene-2-carbonitrile, 3-methyl-, (1&#945;,2&#946;,3&#946;,4&#945;)- (exo,exo)",C10H13N,114718-71-7
"Bicyclo[2.2.2]oct-5-ene-2-carbonitrile, 3-methyl-, (1&#945;,2&#945;,3&#945;,4&#945;)- (endo,endo)",C10H13N,114718-72-8
"Benzonitrile, 2-(4-methylphenyl)-",C14H11N,114772-53-1
,,114773-97-6
"Glutarimide, 3-[[(2-oxocyclohexyl)carbonyl]methyl]-",C13H17NO4,1148-01-2
(2-Chloroethylthio)ethyl ethyl ether,C6H13ClOS,114811-33-5
(2-Hydroxyethylthio)ethyl vinyl sulfide,C6H12OS2,114811-37-9
(2-Hydroxyethylthio)ethyl (vinylthio)ethyl ether,C8H16O2S2,114811-41-5
"naphthalene, 1-methyl-, compd. with 2-methyl-1,3,5-trinitrobenzene(1:1)",C18H15N3O6,114829-48-0
"naphthalene, 1,4-dimethyl-, compd. with 2,4,6-trinitrophenol (1:1)",C18H15N3O7,114829-49-1
2-Acetyl-1-phenylhydrazine,C8H10N2O,114-83-0
fenformin,C10H15N5,114-86-3
Methyl 2-isothiocyanato-3-methylbutyrate,C7H11NO2S,114877-91-7
"2,2':6',2&quot;-Terpyridine",C15H11N3,1148-79-4
"Indoaniline dye, [1-hydroxy-2-(2,4,6-trimethyl)naphthanilide with 4-amino-n,n-diethyl-3-methylaniline]",C31H33N3O2,114909-96-5
Metyridine,C8H11NO,114-91-0
"M-chlorocarbanilic acid, ethyl lactate ester",C12H14ClNO4,1149-42-4
"Methylphosphonoselenoic acid, o,o-dibutyl ester",C9H21O2PSe,114945-29-8
HPOH,H2OP,114996-56-4
2-Fluoro-3-(trifluoromethyl)benzoic acid,C8H4F4O2,115029-22-6
2-Fluoro-4-(trifluoromethyl)benzoic acid,C8H4F4O2,115029-24-8
"1,3,2-Dioxaphospholidine, 2-(2,2,3,3-tetrafluoropropoxy)-",C5H7F4O3P,115044-87-6
"3,5-Pyridinedicarboxylic acid, 2,4,6-trimethyl-, diethyl ester",C14H19NO4,1150-55-6
N-Phenylcarbazole,C18H13N,1150-62-5
Propene,C3H6,115-07-1
"1,3,2-Diazaphosphol-4-ene, 2,4-dichloro-1,3-dicyclohexyl-",C14H23Cl2N2P,115072-85-0
Methanethioamide,CH3NS,115-08-2
"Mercury, chloromethyl-",CH3ClHg,115-09-3
CF3OSF,CF4OS,115095-67-5
Dimethyl ether,C2H6O,115-10-6
"1-Propene, 2-methyl-",C4H8,115-11-7
"Acetaldehyde, tribromo-",C2HBr3O,115-17-3
6-(4-biphenyl)-1-hexene,C18H20,115181-05-0
8-[4-(4'-butylbiphenyl)]-1-octene,C26H36,115181-13-0
"3-Buten-2-ol, 2-methyl-",C5H10O,115-18-4
"3-Butyn-2-ol, 2-methyl-",C5H8O,115-19-5
"Ethanol, 2,2,2-trichloro-",C2H3Cl3O,115-20-8
Ethyltrichlorosilane,C2H5Cl3Si,115-21-9
3-Hydroxy-3-methyl-2-butanone,C5H10O2,115-22-0
"1-Thiacyclodeca-3,8-diyne",C9H10S,115227-74-2
Pent-1-yn-3-yl radical,C5H7,115236-80-1
Sulphonal,C7H16O4S2,115-24-2
"Tricyclo[5.5.0.0<sup>2,8</sup>]dodeca-3,5-diene",C12H16,115245-14-2
Octafluorocyclobutane,C4F8,115-25-3
"2,5-Bis(anilino)-1,3,4-thiadiazole",C14H12N4S,1152-54-1
Chlorendic anhydride,C9H2Cl6O3,115-27-5
"Bicyclo[2.2.1]-5-heptene-2,3-dicarboxylic acid, 1,4,5,6,7,7-hexachloro-",C9H4Cl6O4,115-28-6
Endosulfan,C9H6Cl6O3S,115-29-7
(C6H5)3AsO,C18H15AsO,1153-05-5
thanite,C13H19NO2S,115-31-1
"Acetic acid, [3,5-diiodo-4-(4-hydroxy-3-iodophenoxy) phenyl]-, 2-[diethylamino]ethyl ester, hydrochloride",C14H9Cl5O,115-32-2
Oxyphenisatin Acetate,C24H19NO5,115-33-3
"Lead chloride, triphenyl-",C18H15ClPb,115-36-6
Thebaine,C19H21NO3,115-37-7
c50-Fullerene,C50,115383-21-6
c70-Fullerene,C70,115383-22-7
Mephobarbital,C13H14N2O3,115-38-8
"Rhodium, &#951;<sup>5</sup>-trifluoromethylcyclopentadienyl-",C8H4F3O2Rh,115406-90-1
"Rhodium, &#951;<sup>5</sup>-N,N-dimethylaminocyclopentadienyl-",C9H10NO2Rh,115406-91-2
t-FC(O)OO,CFO3,115408-73-6
ZnCH2,CH2Zn,115410-77-0
HZnCH,CH2Zn,115410-81-6
C10,C10,115424-14-1
Alphenal,C13H12N2O3,115-43-5
Talbutal,C11H16N2O3,115-44-6
"3,5,3',4'-Tetrachlorosalicylanilide",C13H7Cl4NO2,1154-59-2
Azacyclonol,C18H21NO,115-46-8
Bis(o-nitrophenyl)disulfide,C12H8N2O4S2,1155-00-6
Benzalhippuric acid,C16H13NO3,1155-48-2
Methallatal,C10H14N2O2S,115-56-0
"Ruthenium, &#951;<sup>5</sup>-pentamethylcyclopentadienyl-&#951;<sup>5</sup>-1,2,3,3a,7a-indenyl)-",C19H22Ru,115560-11-7
"2-Naphthanilide, 3'-chloro-4-[4-diethylamino-o-tolylimino]-1,4-dihydro-1-oxo-",C28H26ClN3O2,115603-88-8
"2-Naphthanilide, 2'-chloro-4-[4-diethylamino-o-tolylimino]-1,4-dihydro-1-oxo-",C28H26ClN3O2,115604-50-7
Phenglutarimide,C17H24N2O2,1156-05-4
trans-Nitrosobenzene dimer,C12H10N2O2,115626-83-0
"2a&#945;,5a&#945;,8a&#946;,8b&#945;-Decahydroacenaphthene",C12H20,115650-98-1
"2,2-Bis-(4-cyanatophenyl)propane",C17H14N2O2,1156-51-0
"Propionic acid, 2-methyl-2-hydroxy propyl ester",C7H14O3,115665-44-6
"3,5-Dimethyl-5-ethyl oxazolidine-2,4-dione",C7H11NO3,115-67-3
"2-Amino-2-methyl-1,3-propanediol",C5H11NO2,115-69-5
"2-Amino-2-ethyl-1,3-propanediol",C5H13NO2,115-70-8
&#945;-Santalol,C15H24O,115-71-9
"Citric acid, triallyl ester, acetate",C17H22O8,115-72-0
"7,7,8,8,9,9,10,10,11,11,12,12,12,12,14,14,15,15,16,16,17,17,18,18-pentacosafluoro-1-octadecanol",C18H13F25O,115734-81-1
"5,6-Benzotetracyclo[6.3.0.0<sup>3,7</sup>.0<sup>4,11</sup>]undeca-5,9-diene",C15H14,115752-66-4
"6,7-Benzotetracyclo[7.3.0.0<sup>4,8</sup>.0<sup>5,12</sup>]dodeca-6,10-diene",C16H16,115752-78-8
"6,7-Benzotetracyclo[7.3.0.0<sup>4,8</sup>.0<sup>5,12</sup>]dodec-6-ene",C16H18,115752-79-9
"1,3-Propanediol, 2,2-diethyl-",C7H16O2,115-76-4
"Potassium octamer, positive ion",K8+,115774-20-4
"Potassium nonamer, positive ion",K9+,115774-21-5
"Potassium undecamer, positive ion",K11+,115774-23-7
"1,3-Propanediol, 2,2-bis(hydroxymethyl)-",C5H12O4,115-77-5
"Benzaldehyde, (2,4-dinitrophenyl)hydrazone",C13H10N4O4,1157-84-2
"Propane, 1,1,1-triethoxy-",C9H20O3,115-80-0
N-phenyl-n'-p-carbethoxy phenyl thiocarbamide,C16H16N2O2S,1158-23-2
"1,3-Propanediol, 2-butyl-2-ethyl-",C9H20O2,115-84-4
2-Chlorophenyl diphenyl phosphate,C18H14ClO4P,115-85-5
"1,2,3-Trimethylcyclopentadiene",C8H12,115864-00-1
Triphenylphosphate,C18H15O4P,115-86-6
Bis(4-tert-butylphenyl) phenyl phosphate,C26H31O4P,115-87-7
Octyl diphenyl phosphate,C20H27O4P,115-88-8
Diphenyl methyl phosphate,C13H13O4P,115-89-9
Fensulfothion,C11H17O4PS2,115-90-2
HFeCH,CH2Fe,115912-21-5
Cythioate,C8H12NO5PS2,115-93-5
Tris(4-chlorophenyl)phosphine,C18H12Cl3P,1159-54-2
"1,6-Octadien-3-ol, 3,7-dimethyl-, acetate",C12H20O2,115-95-7
YC8 radical,C8Y,115964-94-8
"Phosphoric acid, tri-2-chloroethyl ester",C6H12Cl3O4P,115-96-8
o--Dibenzoyl benzene,C20H14O2,1159-86-0
YC7 radical,C7Y,115986-83-9
"1,6-Octadien-3-ol, 3,7-dimethyl-, formate",C11H18O2,115-99-1
"N,n'-bis-(4-(6-methyl)1,3,3a,7-tetrazaindenyl)-4,4'-biphenyldiamine",C24H20N10,116008-06-1
"Cyclohexanol, 3,3,5-trimethyl-",C9H18O,116-02-9
&#946;-Humulene,C15H24,116-04-1
"1,2,4-Triazolo[5,1-c][1,2,4]triazine, 4,7-dihydro-6-nitro-7-oxo-2,4-dimethyl-",C6H6N6O3,116061-63-3
"1,2,4-Triazolo[5,1-c][1,2,4]triazine, 4,7-dihydro-6-nitro-7-oxo-4-methyl-2-methylthio-",C6H6N6O3S,116061-64-4
"1,2,4-Triazolo[5,1-c][1,2,4]triazine, 4,7-dihydro-6-nitro-7-oxo-2,3-dimethyl-",C6H6N6O3,116061-70-2
Aldicarb,C7H14N2O2S,116-06-3
Ethyl dithiocarbimidoic acid dimethyl ester,C5H11NS2,116072-47-0
"2-Propanone, 1-hydroxy-",C3H6O2,116-09-6
"1-Propene, 2-methoxy-",C4H8O,116-11-0
2-nonylthiazolidine,C12H25NS,116112-94-8
CH3-CC-CC-CH2,C6H5,116138-99-9
HCCCH2CH()CCH,C6H5,116139-00-5
"Ethene, tetrafluoro-",C2F4,116-14-3
"Hydrazine, N,N'-dibutyl-N,N'-dimethyl-",C10H24N2,116149-14-5
"Propene, hexafluoro-",C3F6,116-15-4
"Imidazole, 5-(n-butylthio)-4-nitro-",C7H11N3O2S,116155-02-3
"2-Propanone, 1,1,1,3,3,3-hexachloro-",C3Cl6O,116-16-5
"Phosphorous acid, tris(1-methylethyl) ester",C9H21O3P,116-17-6
CaN3,CaN3,116200-70-5
SrN3,N3Sr,116200-71-6
